%cpu,%mem
0.2,0.0157203
0.0,0.0157358
0.2,0.0157591
0.2,0.0157552
0.2,0.0157591
0.5,0.0157629
0.4,0.0157571
1.6,0.0157688
0.5,0.0157688
0.7,0.0157668
0.4,0.0157533
0.4,0.0157668
0.5,0.0157629
0.6,0.0157668
5.3,0.0158909
1.1,0.0159685
2.2,0.0160383
2.0,0.016048
17.9,0.0160519
0.4,0.0159375
0.4,0.0158948
0.7,0.0158851
0.4,0.0158774
0.7,0.0158677
0.4,0.0158715
0.7,0.0158715
2.3,0.015889
0.2,0.0158677
2.0,0.0158502
0.5,0.0158812
0.4,0.015856
0.5,0.0158638
0.2,0.0158463
0.4,0.0158618
0.4,0.0158657
0.4,0.0158715
0.2,0.0158541
0.4,0.0158599
0.7,0.0158851
0.4,0.0158696
1.4,0.0158774
0.4,0.0158774
1.6,0.015889
0.4,0.0158657
0.4,0.0158735
0.5,0.0158812
0.4,0.0159181
0.4,0.0159142
0.4,0.0159006
0.7,0.0158909
0.7,0.0158832
0.4,0.0159278
0.4,0.0159491
0.7,0.0159607
0.2,0.0159472
0.5,0.0159452
0.2,0.0159704
0.0,0.015951
1.3,0.015953
0.5,0.0159685
0.5,0.015953
0.4,0.0159433
0.5,0.0159123
0.9,0.0159064
0.4,0.0159026
0.4,0.01592
0.4,0.0158967
0.2,0.0159317
0.5,0.0159394
0.4,0.0159258
0.2,0.0159433
0.4,0.0159161
0.4,0.0159123
0.2,0.0159064
0.2,0.01592
0.2,0.0159103
3.2,0.0159239
0.5,0.0159413
0.5,0.0159181
0.2,0.0159258
0.4,0.0159258
1.1,0.0159161
0.4,0.0158948
0.4,0.015889
0.5,0.0158851
0.2,0.0158967
0.4,0.0159103
0.5,0.0159026
0.0,0.0158967
0.4,0.0158987
0.4,0.0158967
0.2,0.0159084
0.2,0.0159064
0.2,0.0159026
0.4,0.0158793
0.2,0.015889
0.4,0.0158909
0.4,0.0159026
0.2,0.015889
0.2,0.0159472
0.5,0.0159142
0.4,0.0159142
0.2,0.0158929
0.4,0.0158871
0.4,0.0158832
0.2,0.0158812
0.0,0.0158832
0.2,0.0158832
0.2,0.0159103
0.4,0.0159123
0.2,0.0158929
0.2,0.0158948
0.2,0.0158871
0.4,0.0158871
0.4,0.0158832
0.4,0.0158793
0.4,0.0158754
0.4,0.0158774
0.5,0.015889
0.4,0.0158909
0.0,0.015889
0.7,0.0158909
0.4,0.0158909
0.4,0.0158909
0.2,0.0158871
0.2,0.0158871
0.2,0.0158657
0.4,0.0158677
0.2,0.0158657
0.2,0.0158696
0.4,0.0158521
0.4,0.0158696
0.4,0.0158696
0.4,0.0158618
0.2,0.0158735
0.5,0.0158696
0.9,0.0158793
0.4,0.0158793
0.7,0.0158774
0.2,0.0158715
0.2,0.0158793
0.2,0.0158677
0.2,0.0158696
1.1,0.0158774
0.2,0.0158774
0.2,0.0158696
0.4,0.0158696
0.2,0.0158677
0.4,0.0158677
0.2,0.0158696
0.4,0.0158657
0.4,0.0158715
0.4,0.0158812
0.4,0.0159006
0.2,0.0158871
0.2,0.0158812
0.4,0.0158812
0.2,0.0158812
0.0,0.015856
0.4,0.015856
0.4,0.0158599
0.2,0.0158599
0.4,0.0158638
0.4,0.0158715
0.4,0.0158754
0.6,0.0158909
0.2,0.0158871
0.4,0.0158715
0.2,0.0158715
0.4,0.0158754
0.4,0.0158735
0.4,0.0158715
0.4,0.0158832
0.2,0.0158812
0.4,0.0158754
0.4,0.0158715
1.1,0.0158774
0.4,0.0160073
0.5,0.0159956
0.2,0.0159956
0.9,0.0159433
0.5,0.0159317
0.7,0.0159743
0.2,0.0159976
0.4,0.0159976
0.5,0.0159956
0.7,0.0160053
1.1,0.0160635
2.0,0.0161391
2.0,0.0161411
0.2,0.0160965
1.8,0.0160868
0.4,0.0160848
0.4,0.016081
0.4,0.0159704
0.6,0.0159724
6.0,0.0161004
1.6,0.0161197
1.5,0.0161353
1.1,0.0161391
1.3,0.0161605
1.3,0.0161527
1.1,0.0162283
0.2,0.0162322
0.4,0.0161818
0.9,0.0162245
0.4,0.0162594
5.5,0.0162497
0.4,0.0162225
0.2,0.0162361
0.7,0.0162535
6.6,0.016174
